Date,Value
2016-05-31,189900.0
2015-12-31,226923.0769
2015-10-31,250050.0
2015-09-30,246950.0
2015-08-31,244200.0
2015-07-31,263882.3529
2015-06-30,273000.0
2014-09-30,336923.0769
2014-07-31,248823.5294
2014-06-30,290000.0
2014-03-31,224000.0
2013-10-31,233461.5385
2013-08-31,258675.0
2013-07-31,238950.0
2013-06-30,249950.0
2013-05-31,271882.3529
2013-04-30,256000.0
2012-10-31,215000.0
2012-05-31,259588.2353
2012-04-30,254000.0
2011-09-30,189000.0
2011-06-30,215000.0
2010-11-30,195000.0
2010-06-30,220000.0
2009-08-31,240000.0
2008-08-31,280441.1765
2008-07-31,282500.0
2007-10-31,338750.0
2007-09-30,343450.0
2007-08-31,329950.0
2007-07-31,310150.0
2007-06-30,333525.0
2007-05-31,341525.0
2007-04-30,303117.6471
2007-03-31,314346.1538
2007-01-31,317975.0
2006-12-31,328925.0
2006-11-30,340275.0
2006-10-31,347300.0
2006-09-30,314775.0
2006-08-31,306500.0
2006-07-31,301625.0
2006-06-30,311875.0
2006-05-31,323200.0
2006-04-30,316175.0
2006-03-31,315200.0
2006-02-28,308475.0
2006-01-31,326450.0
2005-12-31,329125.0
2005-11-30,331125.0
2005-10-31,322950.0
2005-09-30,316725.0
2005-08-31,318250.0
2005-07-31,304575.0
2005-06-30,317425.0
2005-05-31,317500.0
2005-04-30,315925.0
2005-03-31,324350.0
2005-02-28,310150.0
2005-01-31,313275.0
2004-12-31,292125.0
2004-11-30,293025.0
2004-10-31,300450.0
2004-09-30,313000.0
2004-08-31,306275.0
2004-07-31,288950.0
2004-06-30,282350.0
2004-05-31,272800.0
2004-04-30,270625.0
2004-03-31,274525.0
2004-02-29,276950.0
2004-01-31,266600.0
2003-12-31,260950.0
2003-11-30,252200.0
2003-10-31,256075.0
2003-09-30,278025.0
2003-08-31,264600.0
2003-07-31,250800.0
2003-06-30,230600.0
2003-05-31,217882.3529
2003-04-30,232000.0
2003-01-31,261882.3529
2002-12-31,242000.0
2002-10-31,259450.0
2002-09-30,250900.0
2002-08-31,236352.9412
2002-07-31,231230.7692
2002-05-31,222000.0
2002-01-31,208692.3077
2001-11-30,221000.0
2001-09-30,209750.0
2001-08-31,198725.0
2001-07-31,198800.0
2001-06-30,198764.7059
2001-05-31,204615.3846
2001-03-31,206550.0
2001-02-28,183882.3529
2001-01-31,188461.5385
2000-11-30,190000.0
2000-08-31,221350.0
2000-07-31,213300.0
2000-06-30,220550.0
2000-05-31,215400.0
2000-04-30,200705.8824
2000-03-31,216000.0
1999-12-31,183850.0
1999-11-30,175941.1765
1999-10-31,151538.4615
1999-08-31,180375.0
1999-07-31,184675.0
1999-06-30,192000.15
1999-05-31,192250.35
1999-04-30,186059.4118
1999-03-31,184153.8462
1999-01-31,174925.0
1998-11-30,139500.0
1998-08-31,196475.0
1998-07-31,194441.1765
1998-06-30,187307.6923
1998-04-30,190000.0
1997-12-31,169950.0
1997-11-30,178075.0
1997-10-31,179475.0
1997-09-30,179875.0
1997-08-31,172352.9412
1997-07-31,165000.0
1997-01-31,174000.0
